,Адрес установки камеры,ID папки,Latitude,Longitude,District
0,Альметьевск; Белоглазова 131; ТКО,0,54.90249145,52.2897052,
1,Альметьевск; Белоглазова 151; ТКО,1,54.90021055,52.287217,
2,Альметьевск; Джалиля 15; ТКО,2,54.8969668,52.29658092904762,
3,Альметьевск; Гафиатуллина 29Б; ТКО,3,54.9055572,52.2709268,
4,Альметьевск; Гафиатуллина 39; ТКО,4,54.90640845,52.2664557,
5,Альметьевск; Гафиатуллина 45; ТКО,5,54.9058253,52.26436567970897,
6,Альметьевск; Гафиатуллина 47 (1): ТКО,6,54.9065665,52.2638477,
7,Альметьевск; Гафиатуллина 47 (2); ТКО,7,54.9065665,52.2638477,
8,Альметьевск; Гафиатуллина 51Б; ТКО,8,54.9067449,52.26294162386263,
9,Альметьевск; Ленина 109; ТКО,9,54.8980478,52.27371709497783,
10,Альметьевск; Ленина 66; ТКО,10,54.9000296,52.290217665317925,
11,Альметьевск; Ленина 90; ТКО,11,54.8986377,52.28567360159443,
12,Альметьевск; Шевченко 80; ТКО,12,54.89606515,52.2883483,
13,Альметьевск; Строителей 20А; ТКО,13,54.90119765,52.268861836581,
14,Альметьевск; Строителей 20Б; ТКО,14,54.90079745,52.2674305878746,
15,Альметьевск; Строителей 20; ТКО,15,54.89547975,52.36576510019671,
16,БД; Казань; Блюхера 79 ТБО,16,55.8256245,49.0751492,Московский район
17,БД; Казань; Чистопольская 61А Двор прилег территория (2),17,55.8197526,49.1325449,Ново-Савиновский район
18,БД; Казань; Химиков 19 ТБО,18,55.86768025,49.01593530215419,Московский район
19,БД; Казань; Кариева 4а к2 Парковка (1),19,55.78433085,49.185579679308375,Советский район
20,БД; Казань; Кариева 4а к2 Парковка (2),20,55.78433085,49.185579679308375,Советский район
21,БД; Казань; Родины 26Е Двор прилегающая территория (1),21,55.7631637,49.1913333,Советский район
22,БД; Казань; Родины 26Е Двор прилегающая территория (4),22,55.7644171,49.2017978,Советский район
23,БД; Казань; Симонова 15 двор парковка,23,55.8654832,49.08643803954584,Авиастроительный район
24,БД; Казань; ул. Чапаева 11 Двор 2эт. Торец балконого выступа.,24,55.8970477,49.129442657771975,Авиастроительный район
25,БД; Казань; ул. Чапаева 16 дворовая проезжая часть парковка дет. площадка,25,55.86351345,49.0832581,Авиастроительный район
